"GO.ID","Term","Annotated","Significant","Expected","Rank in elimFisher","elimFisher","classicFisher","classicKS","elimKS"
"GO:0003735","structural constituent of ribosome",89,33,11.5,1,"4.8e-09","4.8e-09","1.00","1.00"
"GO:0043532","angiostatin binding",5,5,0.65,2,"3.6e-05","3.6e-05","0.99","0.99"
"GO:0008137","NADH dehydrogenase (ubiquinone) activity",17,8,2.2,3,"0.00062","0.00062","0.94","0.94"
"GO:0003723","RNA binding",408,73,52.73,4,"0.00168","0.00168","0.89","0.89"
"GO:0030276","clathrin binding",25,9,3.23,5,"0.00283","0.00283","0.93","0.93"
"GO:0031369","translation initiation factor binding",18,7,2.33,6,"0.00511","0.00511","1.00","1.00"
"GO:0032451","demethylase activity",14,6,1.81,7,"0.00545","0.00545","0.94","0.94"
"GO:0004016","adenylate cyclase activity",7,4,0.9,8,"0.00700","0.00700","0.79","0.79"
"GO:0032452","histone demethylase activity",12,5,1.55,9,"0.01287","0.01287","0.95","0.95"
"GO:0016790","thiolester hydrolase activity",12,5,1.55,10,"0.01287","0.01287","0.92","0.92"
