"GO.ID","Term","Annotated","Significant","Expected","Rank in classicFisher","classicFisher","elimFisher","classicKS","elimKS"
"GO:0003735","structural constituent of ribosome",89,33,11.5,1,"4.8e-09","4.8e-09","1.00","1.00"
"GO:0043532","angiostatin binding",5,5,0.65,2,"3.6e-05","3.6e-05","0.99","0.99"
"GO:0005198","structural molecule activity",207,45,26.75,3,"0.00022","0.81779","0.99","1.00"
"GO:0003954","NADH dehydrogenase activity",19,9,2.46,4,"0.00026","0.23976","0.97","0.97"
"GO:0016651","oxidoreductase activity, acting on NAD(P...",28,11,3.62,5,"0.00041","0.15776","1.00","1.00"
"GO:0008137","NADH dehydrogenase (ubiquinone) activity",17,8,2.2,6,"0.00062","0.00062","0.94","0.94"
"GO:0050136","NADH dehydrogenase (quinone) activity",17,8,2.2,7,"0.00062","1.00000","0.94","0.94"
"GO:0016655","oxidoreductase activity, acting on NAD(P...",19,8,2.46,8,"0.00152","1.00000","0.97","0.97"
"GO:0003723","RNA binding",408,73,52.73,9,"0.00168","0.00168","0.89","0.89"
"GO:0030276","clathrin binding",25,9,3.23,10,"0.00283","0.00283","0.93","0.93"
