sample,animal ,genotype,region,condition,file_name
SW1_S1,A1,WT,SCN,control,Output-SW1_S1_L001_R1_001
SW2_S13,A2,WT,SCN,control,Output-SW2_S13_L002_R1_001
SW3_S2,A3,WT,SCN,control,Output-SW3_S2_L001_R1_001
SW4_S14,A4,WT,SCN,control,Output-SW4_S14_L002_R1_001
SW5_S3,A5,WT,SCN,control,Output-SW5_S3_L001_R1_001
SW6_S15,A6,WT,SCN,control,Output-SW6_S15_L002_R1_001
SWL7_S4,A7,WT,SCN,light_induced,Output-SWL7_S4_L001_R1_001
SWL8_S16,A8,WT,SCN,light_induced,Output-SWL8_S16_L002_R1_001
SWL9_S5,A9,WT,SCN,light_induced,Output-SWL9_S5_L001_R1_001
SWL10_S17,A10,WT,SCN,light_induced,Output-SWL10_S17_L002_R1_001
SWL11_S6,A11,WT,SCN,light_induced,Output-SWL11_S6_L001_R1_001
SWL12_S18,A12,WT,SCN,light_induced,Output-SWL12_S18_L002_R1_001
SP13_S7,A13,Per1,SCN,control,Output-SP13_S7_L001_R1_001
SP14_S19,A14,Per1,SCN,control,Output-SP14_S19_L002_R1_001
SP15_S8,A15,Per1,SCN,control,Output-SP15_S8_L001_R1_001
SP16_S20,A16,Per1,SCN,control,Output-SP16_S20_L002_R1_001
SP17_S9,A17,Per1,SCN,control,Output-SP17_S9_L001_R1_001
SP18_S21,A18,Per1,SCN,control,Output-SP18_S21_L002_R1_001
SPL19_S10,A19,Per1,SCN,light_induced,Output-SPL19_S10_L001_R1_001
SPL20_S22,A20,Per1,SCN,light_induced,Output-SPL20_S22_L002_R1_001
SPL21_S11,A21,Per1,SCN,light_induced,Output-SPL21_S11_L001_R1_001
SPL22_S23,A22,Per1,SCN,light_induced,Output-SPL22_S23_L002_R1_001
SPL23_S12,A23,Per1,SCN,light_induced,Output-SPL23_S12_L001_R1_001
SPL24_S24,A24,Per1,SCN,light_induced,Output-SPL24_S24_L002_R1_001
