sample,animal ,genotype,region,condition,file_name
LW1_S73,A1,WT,LHb,control,Output-LW1_S73_L007_R1_001
LW2_S85,A2,WT,LHb,control,Output-LW2_S85_L008_R1_001
LW3_S74,A3,WT,LHb,control,Output-LW3_S74_L007_R1_001
LW4_S86,A4,WT,LHb,control,Output-LW4_S86_L008_R1_001
LW5_S75,A5,WT,LHb,control,Output-LW5_S75_L007_R1_001
LW6_S87,A6,WT,LHb,control,Output-LW6_S87_L008_R1_001
LWL7_S76,A7,WT,LHb,light_induced,Output-LWL7_S76_L007_R1_001
LWL8_S88,A8,WT,LHb,light_induced,Output-LWL8_S88_L008_R1_001
LWL9_S77,A9,WT,LHb,light_induced,Output-LWL9_S77_L007_R1_001
LWL11_S78,A11,WT,LHb,light_induced,Output-LWL11_S78_L007_R1_001
LWL12_S90,A12,WT,LHb,light_induced,Output-LWL12_S90_L008_R1_001
LP13_S79,A13,Per1,LHb,control,Output-LP13_S79_L007_R1_001
LP14_S91,A14,Per1,LHb,control,Output-LP14_S91_L008_R1_001
LP15_S80,A15,Per1,LHb,control,Output-LP15_S80_L007_R1_001
LP16_S92,A16,Per1,LHb,control,Output-LP16_S92_L008_R1_001
LP17_S81,A17,Per1,LHb,control,Output-LP17_S81_L007_R1_001
LP18_S93,A18,Per1,LHb,control,Output-LP18_S93_L008_R1_001
LPL19_S82,A19,Per1,LHb,light_induced,Output-LPL19_S82_L007_R1_001
LPL20_S94,A20,Per1,LHb,light_induced,Output-LPL20_S94_L008_R1_001
LPL21_S83,A21,Per1,LHb,light_induced,Output-LPL21_S83_L007_R1_001
LPL22_S95,A22,Per1,LHb,light_induced,Output-LPL22_S95_L008_R1_001
LPL23_S84,A23,Per1,LHb,light_induced,Output-LPL23_S84_L007_R1_001
LPL24_S96,A24,Per1,LHb,light_induced,Output-LPL24_S96_L008_R1_001
