sample,animal ,genotype,region,condition,file_name
NW1_S25,A1,WT,Nac,control,Output-NW1_S25_L003_R1_001
NW2_S37,A2,WT,Nac,control,Output-NW2_S37_L004_R1_001
NW3_S26,A3,WT,Nac,control,Output-NW3_S26_L003_R1_001
NW4_S38,A4,WT,Nac,control,Output-NW4_S38_L004_R1_001
NW5_S27,A5,WT,Nac,control,Output-NW5_S27_L003_R1_001
NW6_S39,A6,WT,Nac,control,Output-NW6_S39_L004_R1_001
NWL7_S28,A7,WT,Nac,light_induced,Output-NWL7_S28_L003_R1_001
NWL8_S40,A8,WT,Nac,light_induced,Output-NWL8_S40_L004_R1_001
NWL9_S29,A9,WT,Nac,light_induced,Output-NWL9_S29_L003_R1_001
NWL10_S41,A10,WT,Nac,light_induced,Output-NWL10_S41_L004_R1_001
NWL11_S30,A11,WT,Nac,light_induced,Output-NWL11_S30_L003_R1_001
NWL12_S42,A12,WT,Nac,light_induced,Output-NWL12_S42_L004_R1_001
NP13_S31,A13,Per1,Nac,control,Output-NP13_S31_L003_R1_001
NP14_S43,A14,Per1,Nac,control,Output-NP14_S43_L004_R1_001
NP15_S32,A15,Per1,Nac,control,Output-NP15_S32_L003_R1_001
NP16_S44,A16,Per1,Nac,control,Output-NP16_S44_L004_R1_001
NP17_S33,A17,Per1,Nac,control,Output-NP17_S33_L003_R1_001
NP18_S45,A18,Per1,Nac,control,Output-NP18_S45_L004_R1_001
NPL19_S34,A19,Per1,Nac,light_induced,Output-NPL19_S34_L003_R1_001
NPL20_S46,A20,Per1,Nac,light_induced,Output-NPL20_S46_L004_R1_001
NPL21_S35,A21,Per1,Nac,light_induced,Output-NPL21_S35_L003_R1_001
NPL22_S47,A22,Per1,Nac,light_induced,Output-NPL22_S47_L004_R1_001
NPL23_S36,A23,Per1,Nac,light_induced,Output-NPL23_S36_L003_R1_001
NPL24_S48,A24,Per1,Nac,light_induced,Output-NPL24_S48_L004_R1_001
